"","HC","coef","criterion","test","value"
"487","HC0","x1","power","saddle_V1",0.356824062440521
"488","HC0","x2","power","saddle_V1",0.0858618436612345
"489","HC0","x3","power","saddle_V1",0.399027269323103
"490","HC0","x4","power","saddle_V1",0.445016317532902
"491","HC0","x0","size","saddle_V1",0.495177021430313
"492","HC0","x1","size","saddle_V1",0.561005656802327
"493","HC0","x2","size","saddle_V1",0.0634798380318327
"494","HC0","x3","size","saddle_V1",0.0227819405186683
"495","HC0","x4","size","saddle_V1",0.468536822165222
"496","HC0","x0","power","saddle_V1",0.294731013551495
"497","HC0","x1","power","saddle_V1",0.930930579085651
"498","HC0","x2","power","saddle_V1",0.000802289158022707
"499","HC0","x3","power","saddle_V1",0.967072631420127
"500","HC0","x4","power","saddle_V1",0.468536822165222
"501","HC0","x0","size","saddle_V1",0.618630731426343
"502","HC0","x1","size","saddle_V1",0.646365112716667
"503","HC0","x2","size","saddle_V1",0.810312437780158
"504","HC0","x3","size","saddle_V1",0.130715794679551
"505","HC0","x4","size","saddle_V1",0.235234044155178
"506","HC0","x0","power","saddle_V1",0.929143243343764
"507","HC0","x1","power","saddle_V1",0.379549944493487
"508","HC0","x2","power","saddle_V1",0.269216303884084
"509","HC0","x3","power","saddle_V1",0.548023335298058
"510","HC0","x4","power","saddle_V1",0.235234044155178
